A,B,result,RefD
natural language processing intro,event detection,1,-0.146667312
recursive neural network,Kernel Graphical Models,0,0.136674795904036
nlp for databases,feature learning,0,0.0
sentence representations,sentiment analysis,1,0.0772485134690346
computational phonology,gradient descent,0,0.0
evaluation of text classification,language identification,1,-0.14047331
natural language processing intro,adversarial search,0,-0.035081749
earley parsing,others,0,0.0
latent variable models,spelling correction,0,0.0
Message Passing,data structures,0,0.0692232507790524
natural language processing intro,chomsky hierarchy,1,-0.015374317
machine learning resources,latent dirichlet allocation,1,-0.28486652
chomsky hierarchy,probabilistic grammars,1,-0.084678523
natural language processing intro,hidden markov models,0,0.0708076839288433
Manifold Learning,search engine indexing,0,0.0
knowledge graph,recurrent neural networks,0,0.0250575445679255
problem solving and search,game playing in ai,1,-0.009796844
gibbs sampling,newton method,0,0.0299766003818868
Mixture Models,Variations of GANs,0,-0.007865984
parsing,statistical parsing,1,-0.37459003
calculus,spectral methods,1,-0.026833295
probabilities,hidden markov models,1,-0.110396228
part of speech tagging,statistical part of speech tagging,1,0.0
spectral clustering,morphology and lexicon,0,0.0
natural language processing intro,text mining,1,-0.02203838
probabilities,question answering,1,-0.033141527
sentence representations,text summarization,1,0.0807385423842235
linguistics basics,discourse analysis,1,0.136493560879929
variational bayes models,cky parsing,0,-0.006179208
planning,linear algebra,0,0.0
transition based dependency parsing,training neural networks,0,0.136374036433945
linear algebra,State Space Models,1,-0.037134904
syntax based machine translation,kullback leibler divergence,0,-0.002367572
recurrent neural networks,problem solving and search,0,0.0020424128596166
seq2seq,neural summarization,1,0.221791656455123
natural language processing intro,named entity recognition,1,-0.249621123
linguistics basics,probabilistic context free grammars,1,0.0
neural networks,Autoencoders,1,0.0456815199541349
speech signal analysis,speech processing,1,-0.012687656
discourse parsing,vector representations,0,-0.022459941
vector representations,word embedding variations,0,-0.141577279
probabilities,recursive neural network,1,-0.021590402
document representation,agent-based view of ai,0,0.0
Mean Field Approximation,edit distance,0,0.0
spectral clustering,semi-supervised learning,0,-0.01490857
language modeling,evaluation of language modeling,1,-0.014082033
evaluation of information retrieval,query expansion,1,-0.156107454
learning,neural question answering,0,0.0029841940757903
bootstrapping,deep learning tools,0,0.013114276721067
lexicography,text to speech generation,0,0.0048946609050302
computation theory,particle filter,0,-0.024831847
vector representations,structured learning,1,0.0416303217650186
probabilities,bayes theorem,1,-0.043628343
chinese nlp,spelling correction,1,0.0
probabilities,chinese nlp,0,-0.004810873
finite state machines,uncertainty,0,0.0
random walks and harmonic functions,scientific article summarization,1,0.0
word embedding,heuristic search,0,0.0155766206654649
vector semantics,transliteration,0,0.0
natural language processing intro,cky parsing,1,-0.348336407
structured learning,data structures,0,0.0112317694666809
neural question answering,Hilbert Space,0,0.001080862795053
recurrent neural networks,lexicalized parsing,0,-0.044895515
word distributions,language modeling,1,0.151465134898874
dimensionality reduction,latent semantic indexing,1,-0.034640315
semantic similarity,relation extraction,1,-0.110420146
vector representations,lexical semantics,0,0.0132434636338927
planning,logic and logical agents,1,-0.001467808
shallow parsing,Autoencoders,0,0.0544382903319156
speech processing,text to speech generation,1,0.107310854514176
latent variable models,language identification,0,0.0
word embedding variations,multilingual word embedding,1,0.0
vector representations,generative adversarial networks,0,0.177259915892952
newton method,search engines,0,0.0032043658845895
probabilities,speech processing,1,0.0070497448180358
data structures and algorithms,crawling the web,0,-0.012597125
natural language processing intro,language modeling,1,-0.085999669
linear algebra,spectral methods,1,-0.115565871
search,logic and logical agents,1,0.0
context sensitive grammar,Message Passing,0,0.0
syntax,named entity recognition,0,-0.05260252
probabilities,Mixture Models,1,-0.120565223
semi-supervised learning,neural networks,1,0.121497614713928
uncertainty,robotics,1,0.0075509243768956
vector semantics,combinatory categorial grammar,0,0.0
syntax based machine translation,activation functions,0,-0.08997456
matrix factorization,evaluation of text classification,0,-0.004057693
word embedding variations,Variable Elimination,0,0.0026114201426404
linear algebra,dimensionality reduction,1,-0.036151396
Unsupervised learning,reinforcement learning,1,0.0776531749122008
ResNet,computational phonology,0,0.0
structured learning,classification,0,0.0322684167919566
learning,sequence classification and conditional random fields,0,-0.012628639
toolkits for information retrieval,structured prediction,0,0.0043690589278606
logic and logical agents,word embedding variations,0,0.0
summarization evaluation,knowledge graph,0,-0.021804355
multi-modal learning,evaluation of text classification,0,0.007757613904183
generative adversarial networks,speech signal analysis,0,0.0324480188216764
semi supervised learning,latent dirichlet allocation,0,0.0505273103748582
sentence boundary recognition,Markov Random Fields,0,-0.03420961
heuristic search,multi-modal learning,0,0.0166667030182882
loss function,Canonical Correlation Analysis,0,0.006462136826608
discourse parsing,maximum likelihood estimation,0,-0.02311853
latent variable models,topic modeling,1,-0.004852657
neural networks,neural parsing,1,-0.069777911
tools for dl,multi-agent systems,0,0.0
probabilities,classification,1,-0.025662303
information extraction,social media analysis,1,-0.042137295
parsing evaluation,semantic parsing,1,0.0052428605202302
Dirichlet Processes,document ranking,0,0.0
discourse model,dependency syntax,0,-0.254806659
linguistics basics,dialog systems,1,0.0
natural language processing intro,course introduction,1,0.0
class logistics,Variable Elimination,0,0.0
graphical models,others,0,0.0
monte carlo methods,latent dirichlet allocation,1,0.0054301041919514
thesaurus-based similarity,classic parsing methods,0,0.0
linguistics basics,speech processing,1,-0.011355839
dynamic programming,course introduction,1,0.0
statistical parsing,a* search,0,0.0
linear algebra,Manifold Learning,1,-0.036468243
structured learning,feature selection,0,-0.175917621
graph theory,context sensitive grammar,0,0.0027804964205309
linguistics basics,context free grammars,1,0.0396187740117355
maximum likelihood estimation,deep learning introduction,0,0.0164974856816198
