A,B,result
Transaction processing,Dynamic memory allocation,0
Randomized algorithm,Computational problem,1
Data mining,Mathematical induction,1
Data warehouse,Software engineering,0
File system,Operating system,1
Parallel computing,Natural language processing,0
Logic programming,Discrete mathematics,1
Computer vision,Algorithm,1
Introduction to Algorithms,Interface (computing),0
System call,Inference,0
Software engineering,Machine translation,0
Random walk,Tensor,0
Machine learning,Graph theory,1
Central processing unit,Computability,0
Algebra,Arithmetic,1
Malware,Computer network,1
Algorithm,Kinematics,0
Approximation algorithm,Mathematical optimization,1
P versus NP problem,Graph (mathematics),0
Artificial intelligence,Foundations of mathematics,1
Control flow,Stochastic process,0
Index (database),Graphical model,0
Question answering,Computer vision,0
Calculus of variations,Integral,1
Coding theory,Web server,0
Algorithm design,Continuous function,0
Speech recognition,Computer programming,1
Traffic analysis,Integer,0
Computer security,Graph theory,1
Turing machine,Logic,1
Finite difference,Volume rendering,0
Network security,Bayesian,0
Automated theorem proving,Foundations of mathematics,1
Undecidable problem,Discrete mathematics,1
CPU cache,Computer,1
Data type,Discrete mathematics,1
Logic programming,Complexity,0
Microcode,Gradient descent,0
Decision theory,SQL,0
Parallel computing,Sequence alignment,0
Nonlinear system,Analysis of algorithms,0
Fast Fourier transform,Communication,0
GPU,Shared memory,1
Software engineering,Mathematics,1
Approximation algorithm,Iterative method,1
Hidden Markov model,Programming style,0
NP (complexity),Model checking,0
Computational chemistry,Big data,0
Ray tracing (graphics),Context-free grammar,0
Calculus of variations,Shading,0
Divide and conquer algorithm,Mathematics,1
Human-computer interaction,Debugging,0
Scheduling (computing),Vector processor,0
Random walk,Mathematics,1
Finite difference,Computational problem,0
Undecidable problem,Polynomial,1
Computer vision,Concurrent computing,0
Newton's method,Matrix (mathematics),1
Analysis of algorithms,Algorithm,1
Type system,Computer,1
Assembly language,Data structure,1
Divide and conquer algorithm,Iterative method,1
Mathematical induction,Quantum cryptography,0
Synchronization,Finite-state machine,0
Shortest path problem,Unix,0
Cryptanalysis,Foundations of mathematics,1
Natural language processing,Cloud computing,0
Expert system,Debugging,0
Numerical analysis,Theoretical computer science,1
Human-computer interaction,User interface,0
Database,Numerical analysis,0
Markov process,Fixed point (mathematics),0
Programming paradigm,Data structure,1
Robotics,Database management system,0
Motion capture,Traffic analysis,0
Information security,Programming style,0
Central processing unit,Formal verification,0
Time complexity,Random variable,0
3D computer graphics,Design of experiments,0
Hidden Markov model,Modular programming,0
Pattern recognition,Computer science,1
Routing,Relational database,0
Context-free grammar,Mathematics,1
CPU cache,Context-free language,0
Machine learning,Mathematical model,1
Procedural programming,Interpolation,0
Concurrency control,Turing machine,1
Modular programming,Cluster analysis,0
Computational problem,Graph theory,1
Bioinformatics,Polynomial,1
Control flow,Variable (computer science),1
Shared memory,Input/output,0
Cryptanalysis,Mathematics,1
Computational problem,Computational geometry,0
Cryptography,Problem solving,1
Public-key cryptography,Polynomial,1
System call,Unix,0
System programming,Algorithm,1
Flow network,Concurrent computing,0
Polymorphism (computer science),Introduction to Algorithms,0
Stochastic,Quantum cryptography,0
Memory hierarchy,Social network,0
Java (programming language),High-level programming language,1
High-level programming language,Mathematics,1
Analysis of algorithms,Finite element method,0
Partial differential equation,Probability,0
Signal processing,Suffix tree,0
Scope (computer science),Algorithm,1
Hidden Markov model,Dynamic programming,1
3D modeling,Mathematics,1
Probability,Continuous function,0
Context-free grammar,Automata theory,0
Object (computer science),Cryptographic hash function,0
Graph coloring,Graph (mathematics),1
Shortest path problem,Computational complexity theory,1
Context-free language,MATLAB,0
Design of experiments,Formal grammar,0
SQL,Data structure,1
Recursion,Computability,1
Expert system,Data structure,1
Computation,Stochastic,0
Parallel algorithm,Robot,0
Abstract data type,Computer,1
Public-key cryptography,Mathematical induction,1
Traffic analysis,Cryptography,1
Recommender system,Computer programming,1
User interface,Computational complexity theory,1
Knowledge representation and reasoning,Computability,1
Continuous function,Computing,0
Web service,Software testing,0
Virtual reality,Computer programming,1
Interactivity,Foundations of mathematics,1
Robotics,Theory of computation,1
Mathematical optimization,Computation,1
Stochastic,Context-free grammar,0
Graph theory,Application software,0
Bioinformatics,Programming style,0
Artificial intelligence,Programming language,1
Peer-to-peer,Computer,1
C (programming language),Programming language,1
Matrix (mathematics),Perl,0
Profiling (computer programming),Polynomial,1
Computer software,Mobile device,0
System programming,Operating system,1
Decision theory,Mathematical induction,1
Polynomial,Stack (data structure),0
Communications protocol,Abstraction (computer science),1
Virtual memory,Iterative method,0
Computer architecture,Information assurance,0
Programming paradigm,Discrete mathematics,1
Programming style,Logic,1
hypothesis testing,Inequality (mathematics),0
Economics,Matrix (mathematics),1
Regular language,Scope (computer science),0
Programming style,Web browser,0
Monte Carlo method,Probability,1
Data warehouse,Data structure,1
Query language,Computational complexity theory,1
Neural network,Computer simulation,0
Martingale (probability theory),Expected value,1
Problem solving,SQL,0
Assembly language,Continuous function,0
Profiling (computer programming),Iterative method,1
Hidden line removal,Vector processor,0
OSI model,Communications protocol,1
Data,Exponential family,0
Computer vision,Finite element method,0
Number theory,Computational learning theory,0
SQL,Question answering,0
Programming style,Data (computing),0
Logic programming,Number theory,1
Analysis of algorithms,Database,0
Assembly language,Symbol table,0
Cloud computing,Data,1
NP-complete,ML (programming language),0
Image processing,Graphical model,0
Coding theory,Symmetric multiprocessing,0
Traffic analysis,Program analysis,0
Index (database),Computing,1
Web search engine,Internet Protocol Suite,0
Formal methods,Computational complexity theory,1
Data type,Foundations of mathematics,1
Number theory,Data type,0
Combinational logic,Database transaction,0
Web service,Data (computing),1
Fourier analysis,Programmer,0
Traffic analysis,Authentication,1
Algorithm design,Combinatorics,1
Tensor,Spanning tree,0
Approximation algorithm,Abstraction (computer science),1
Round-off error,Relational model,0
Shared memory,Theory of computation,0
Prolog,Digital signature,0
Probability,Mathematics,1
Python (programming language),Variable (computer science),1
Artificial intelligence,Data (computing),1
Routing,Traffic analysis,0
System programming,Computing,1
Communications protocol,Algorithm,1
Geometric modeling,Predicate logic,0
Calculus,Linked list,0
Information assurance,Newton's method,0
Formal methods,Mathematics,1
Software engineering,Computational complexity theory,1
Volume rendering,Image,1
Multi-core processor,Computer architecture,1
PSPACE,Shading,0
Image,Compiler optimization,0
Computability,Network security,0
Model of computation,Reinforcement learning,0
Finite set,Part-of-speech tagging,0
Visualization (computer graphics),Polynomial,0
CPU cache,Mechanical engineering,0
Computer science,Mathematics,1
Symbol table,Lazy evaluation,0
Database system,Expected value,0
Formal verification,Computer science,1
Parsing,Foundations of mathematics,1
Hidden line removal,Abstraction (computer science),1
Numerical analysis,Computer science,1
Data type,Automata theory,1
Analysis of algorithms,Halting problem,0
Hidden Markov model,Probability theory,1
Lexical analysis,Regular language,1
Atomicity (database systems),Cryptanalysis,0
Recursion,Processor register,0
3D computer graphics,Foundations of mathematics,1
Communication,Programming language,0
String searching algorithm,Computer science,1
Algorithm,Model checking,0
Distributed algorithms,Theoretical computer science,1
Message Passing Interface,Nonlinear system,0
Software framework,Pattern recognition,0
Computer simulation,Mathematics,1
Semantics,Multi-core processor,0
Natural language processing,Computational complexity theory,1
Database transaction,Higher-order function,0
Database normalization,Operating system,1
Logic programming,Type system,0
Semantics of programming languages,Routing,0
Object (computer science),Discrete mathematics,1
NP (complexity),Automatic programming,0
Perl,Concurrent computing,0
Web search engine,Cryptanalysis,0
Public-key cryptography,Computing,1
Recursion (computer science),Logic,1
Economics,Bioinformatics,0
Feature extraction,Assembly language,0
Debugging,Algorithm,1
Graph theory,Mathematical proof,1
Computer simulation,Number theory,1
Concurrency control,Mathematics,1
B-tree,Data (computing),1
Random graph,Computational science,1
Theoretical computer science,File system,0
Semantics of programming languages,NP (complexity),0
"Best, worst and average case",Inter-process communication,0
Analysis of algorithms,Computer science,1
Haskell (programming language),Logic,1
HTML,Network security,0
Vulnerability (computing),Vector processor,0
Boundary value problem,Differential equation,1
Application software,Computer,1
NP (complexity),Inter-process communication,0
Index (database),Graph theory,1
Parallel algorithm,Application software,0
Statistics,Unsupervised learning,0
String (computer science),Computational science,1
Computer science,Algebra,1
User interface design,User interface,1
Python (programming language),Computing,1
Thread (computer science),Congestion control,0
B-tree,Estimation theory,0
Atomicity (database systems),Database,1
Computer,Monte Carlo method,0
Correlation and dependence,Cache coherence,0
Database,Computing,1
Kernel (computing),Computer programming,1
Reinforcement learning,Logic,1
Software engineering,Object-oriented programming,1
Turing machine,Computer science,1
Compiler optimization,Poisson distribution,0
Programming paradigm,Linear system,0
3D computer graphics,Computer science,1
Parsing,Computation,1
Expert system,Graph theory,1
Model checking,Computer,1
Programming language,Digital electronics,1
CPU cache,Digital electronics,1
Complexity class,Logic,1
HTML,Eigenvalues and eigenvectors,0
Telecommunications network,Distributed algorithms,0
Mathematical model,Cloud computing,0
Data warehouse,Generic programming,0
Shared memory,Lexical semantics,0
Multi-core processor,Computer software,0
Vulnerability (computing),Message passing,0
Algorithm,Combinatorics,1
Programming language,Graph theory,1
Programming paradigm,Mathematics,1
Database,Algorithm,1
Expected value,Index (database),0
Denotational semantics,Computer science,1
Input/output,Digital electronics,1
Cryptography,Algorithm design,1
Part-of-speech tagging,Internet Protocol Suite,0
Analysis of algorithms,Wireless sensor network,0
Type system,Eigenvalues and eigenvectors,0
C++,Software development,0
Software framework,Control flow,1
Quantum computer,Computer science,1
Shading,Randomness,0
Predicate logic,Scope (computer science),0
NP (complexity),Finite-state machine,1
Cryptanalysis,Parallel algorithm,0
Martingale (probability theory),Iterative method,0
String (computer science),Data,1
Regular language,Automata theory,1
Finite element method,Question answering,0
Higher-order function,Firewall (computing),0
Amortized analysis,Embedded system,0
Graph coloring,Markov process,0
Malware,Computer science,1
Performance tuning,Cryptography,0
Gradient descent,Mathematical optimization,1
Embedded system,Digital electronics,1
Mathematical proof,Mathematical proof,0
Automata theory,Software design,0
Packet switching,Rendering (computer graphics),0
Fast Fourier transform,Symbol table,0
Automated planning and scheduling,Image,0
Central processing unit,Autonomous robot,0
Artificial intelligence,Algorithm design,1
Computer architecture,Data analysis,0
Scheduling (computing),Web server,0
Higher-order function,File system,0
Complexity class,Problem solving,1
Sentiment analysis,Computational science,1
Message Passing Interface,User interface design,0
Relational algebra,Index (database),0
Virtual reality,Image,1
Python (programming language),Logic,1
Mutual exclusion,Instruction set,0
Time complexity,Abstraction (computer science),1
Program optimization,Firewall (computing),0
Sequence alignment,Uncertainty,1
Analysis of algorithms,Arithmetic,1
Pattern matching,Cryptanalysis,0
Knowledge representation and reasoning,Computation,1
Distributed algorithms,Computation,1
Computational learning theory,Mathematics,1
Data mining,Internet Protocol Suite,0
Recursion,Expected value,0
Recursion (computer science),Automata theory,1
Computability,Multiplication,0
Artificial intelligence,Abstract data type,0
Web browser,Arithmetic,1
Wavelet,Robot,0
Wireless sensor network,Statistical inference,0
Computational geometry,Mathematical induction,1
Markov chain,Algebra,1
Modular programming,Computer simulation,0
Graphical model,Machine learning,1
Computer graphics,Recursion (computer science),0
Game theory,Random variable,1
Programming language,P versus NP problem,0
Recommender system,Python (programming language),0
Game theory,Computer animation,0
Formal verification,Image analysis,0
Cryptanalysis,Graph coloring,0
Context-free language,Software framework,0
Recursion,Mathematics,1
Computer programming,Data structure,1
Estimation theory,Partial differential equation,0
Robotics,Graph theory,1
System programming,Digital electronics,1
Operating system,Computing,1
Firewall (computing),Data,1
Big data,Discrete mathematics,1
PageRank,Scientific modelling,0
Recursively enumerable set,Finite set,1
Computational problem,Computer science,1
Peer-to-peer,Computer science,1
Transaction processing,Functional programming,0
Processor register,Quantum computer,0
Functional programming,Programming language,1
Neural network,Computability,1
Software testing,Economics,0
Automatic programming,Computational complexity theory,1
Model of computation,Computation,1
Application software,Reinforcement learning,0
Ray tracing (graphics),Mathematics,1
Machine translation,Semantics of programming languages,0
Processor register,Parallel computing,0
Cryptanalysis,Pattern recognition,0
Vector processor,Vector processor,0
Bayesian,Sentiment analysis,0
Newton's method,Microprocessor,0
Index (database),Computational complexity theory,1
Quantum computer,Theoretical computer science,1
Cryptographic hash function,Authentication,1
Information security,Object-oriented programming,0
Linear system,Mathematics,1
Lisp (programming language),Mathematics,1
Program analysis,Logic,1
Markov chain,Expected value,1
Semantics,Natural language,1
HTML,Encryption,0
Partial differential equation,Rendering (computer graphics),0
Programming language,Image processing,0
Gradient descent,Newton's method,0
Lisp (programming language),Variable (computer science),1
Programming language,Computing,1
Theoretical computer science,Spanning tree,0
NP-complete,Algorithm,1
Formal methods,Kalman filter,0
Introduction to Algorithms,Estimation theory,0
Neural network,Integer,1
Distributed computing,Computer,1
Robotics,Data structure,1
Bayesian,Mathematics,1
Ray tracing (graphics),Computational science,1
Garbage collection (computer science),Graph theory,1
Procedural programming,Mathematical induction,0
Concurrency control,Introduction to Algorithms,1
Markov chain,Probability theory,1
Finite element method,Polynomial,1
Feature extraction,High-level programming language,0
Stochastic process,Digital electronics,0
Symbol table,Firewall (computing),0
Assembly language,Computational science,1
PageRank,Graph coloring,0
C (programming language),Automatic programming,0
Complexity,Run time (program lifecycle phase),0
Programmer,Programming language,1
Parsing,Iterative method,1
Mechanical engineering,Mathematical optimization,0
Expert system,OSI model,0
Control flow,Scope (computer science),1
Mathematical induction,Genetic algorithm,0
3D modeling,Foundations of mathematics,1
Random graph,Complexity,0
Kernel (computing),Central processing unit,1
NP-complete,Computer,1
Number theory,Packet switching,0
Finite-state machine,Mathematics,1
Analysis of algorithms,Mathematical proof,1
Graphical model,Theoretical computer science,0
Information assurance,Information theory,0
String (computer science),Computer,1
Recursion,Autonomous robot,0
Computer vision,Computing,1
Gradient descent,Abstraction (computer science),1
Markov process,Functional programming,0
Game theory,Mathematical model,1
Index (database),Formal verification,0
Software testing,File system,0
JavaScript,Data structure,1
SQL,PageRank,0
Routing,Polymorphism (computer science),0
Computational chemistry,Relational database,0
Parallel computing,Discrete mathematics,1
Quantum cryptography,Computer science,1
Web server,Lexical semantics,0
Algorithm,Polynomial,1
Public-key cryptography,Logic,1
Computer graphics,Geometry,1
Robotics,Rendering (computer graphics),0
Conditional probability,Synchronization,0
High-level programming language,Foundations of mathematics,1
Quantum computer,Number theory,1
Vulnerability (computing),Programming paradigm,0
Geometric modeling,Computer,1
Computer vision,Computational complexity theory,1
Functional programming,Recursion,1
Integer,Computational science,0
Unix,Round-off error,0
Recursively enumerable set,Recursion,1
Amortized analysis,Concurrent computing,0
Software engineering,Complexity,1
Model of computation,Discrete mathematics,1
Public-key cryptography,Formal grammar,0
Digital signature,Web search engine,0
Computation,Public-key cryptography,0
Context-free grammar,Recursion,0
Software development,Computational science,1
GPU,Computer programming,1
Variable (computer science),Programming language,1
Support vector machine,Abstraction (computer science),1
Information security,Document classification,0
Dynamic programming,Programmer,0
Telecommunications network,Bayesian,0
Calculus of variations,Mathematics,1
Firewall (computing),Abstract data type,0
Arithmetic logic unit,Human-computer interaction,0
Floating point,Imperative programming,0
Document classification,Computational science,1
Context-free grammar,Computational chemistry,0
System programming,Computational science,1
Mechanical engineering,Microcode,0
Graphical user interface,Mathematics,1
Scientific modelling,Lexical analysis,0
Software development,Data structure,1
Inference,Computer science,0
Tensor,Recursion,0
Statistics,Randomness,1
Scientific modelling,Machine learning,0
Signal processing,Uncertainty,1
Speech recognition,Data structure,1
OSI model,Arithmetic logic unit,0
Amortized analysis,Mathematics,1
Part-of-speech tagging,Performance tuning,0
Hidden line removal,Algorithm,1
Fourier analysis,Sentiment analysis,0
Dynamic programming,Computing,1
Visualization (computer graphics),Computational learning theory,0
Inter-process communication,Monte Carlo method,0
Communication,Program analysis,0
Decision theory,Operating system,0
Newton's method,Flow network,0
Quantum cryptography,Number theory,1
Software engineering,Object (computer science),1
Firewall (computing),Nonlinear system,0
Propositional calculus,Inequality (mathematics),0
Queue (data structure),Mobile device,0
Software testing,Decision theory,0
Variable (computer science),Data structure,1
Machine translation,Algorithm,1
Time complexity,Calculus of variations,0
Image analysis,Foundations of mathematics,1
Automata theory,Mechanical engineering,0
Robotics,Analysis of algorithms,1
Index (database),Procedural programming,0
World Wide Web,Number theory,0
Algorithm,Scripting language,0
Mathematical model,Parsing,0
Finite difference,Large deviations theory,0
Computer programming,Logic,1
Software engineering,Iterative method,1
Coding theory,Graph theory,1
Quantum cryptography,Information security,1
Discrete mathematics,Algebra,1
3D computer graphics,Database,0
GPU,Dynamic memory allocation,0
Database,Mathematics,1
Object (computer science),Foundations of mathematics,1
Finite difference,Numerical analysis,1
Type system,Computer science,1
Computer programming,Iterative method,1
Quantum mechanics,Continuous function,1
Distributed computing,Integer,1
Algorithm design,Probability theory,1
Compiler,Data structure,1
Fourier analysis,System call,0
High-level programming language,Syntax,0
Artificial intelligence,Data type,1
Hidden line removal,Iterative method,1
Reinforcement learning,Statistics,1
Cryptography,Combinatorics,1
Software testing,Volume rendering,0
Motion planning,Compiler,0
Cluster analysis,Number theory,1
Pattern recognition,Randomization,0
Graph (mathematics),Mathematics,1
Digital electronics,Computational geometry,0
Logic programming,World Wide Web,0
Visualization (computer graphics),Computer programming,1
Vector processor,Parallel computing,1
Graph coloring,Automatic programming,0
Recommender system,Vulnerability (computing),0
Machine learning,Abstraction (computer science),1
Robot,Computer,1
Volume rendering,Computer programming,1
Web server,Knowledge representation and reasoning,0
Malware,Boundary value problem,0
Python (programming language),Computational complexity theory,1
Prediction,Computational chemistry,0
Microcode,Syntax,1
Linked list,Computer science,1
Denotational semantics,Automata theory,1
Pipeline (computing),Sequence alignment,0
Semantics,Data warehouse,0
String searching algorithm,Computing,1
Message Passing Interface,Finite difference,0
Randomization,Gradient descent,0
Recursion (computer science),Combinatorics,1
Computer graphics,Number theory,1
Polynomial,Mathematics,1
Time complexity,Discrete mathematics,1
Rendering (computer graphics),Computer programming,1
Bayesian network,Digital signature,0
Interactivity,Processor register,0
Virtual reality,Queue (data structure),0
High-level programming language,Graph theory,1
Markov process,Amortized analysis,0
hypothesis testing,Uncertainty,1
Automated planning and scheduling,Data structure,1
Scientific visualization,Variable (computer science),0
Machine learning,Graphical user interface,0
Interactivity,Logic,1
Probability,Database,0
Digital signature,Computability,1
Expert system,Mathematics,1
Formal language,PageRank,0
Computer graphics,Image,1
Algorithm,Integer,1
Numerical analysis,Computability,1
Control flow,Automata theory,1
Volume rendering,Algorithm,1
Computer science,Computational science,1
Database normalization,Computer science,1
Machine translation,Probability theory,0
Machine learning,Mathematical optimization,1
Recursion (computer science),Model checking,0
Lexical analysis,Computer programming,1
System call,System programming,0
Data mining,Computational complexity theory,1
Analysis of algorithms,Probability theory,1
Computer security,Mathematics,1
ML (programming language),Computer,1
Authentication,File system,0
Relational algebra,SQL,0
Computer simulation,Foundations of mathematics,1
HTML,Arithmetic,1
Parsing,Problem solving,1
Image processing,Computing,1
Symbol table,Regular expression,1
HTML,Kinematics,0
Approximation algorithm,Computation,1
Theory of computation,MapReduce,0
Web server,Exponential family,0
NP (complexity),Automata theory,1
Machine learning,Polynomial,1
Statistical inference,Design of experiments,0
Time complexity,Scripting language,0
Query optimization,Entropy,0
Functional programming,Hidden line removal,0
Lazy evaluation,Automata theory,1
World Wide Web,Computer,1
Spanning tree,Image analysis,0
Time complexity,Integer,1
NP-complete,Wireless sensor network,0
Artificial intelligence,Computer programming,1
Symmetric multiprocessing,Ray tracing (graphics),0
Reinforcement learning,Reason,1
Monad (functional programming),Relational model,0
Monte Carlo method,Software testing,0
Number theory,Arithmetic logic unit,0
Graph coloring,Continuous function,0
Stack (data structure),Firewall (computing),0
Reinforcement learning,Probability theory,1
Random variable,Formal grammar,0
Java (programming language),Arithmetic,1
Expert system,Numerical analysis,1
Support vector machine,Polynomial,1
Natural language,Random graph,0
Parallel computing,Graph theory,1
Database system,Probability,0
Scientific modelling,Logic programming,0
Stochastic process,Randomness,1
Software testing,Computing,1
Decision theory,Logic,1
User interface,Knowledge representation and reasoning,0
Interaction design,Pipeline (computing),0
CPU cache,Poisson distribution,0
Programmer,Algorithm,1
NP-complete,Integer,1
Computational complexity theory,Iterative method,1
Programmer,Arithmetic,1
Symmetric multiprocessing,Concurrency (computer science),1
Formal language,Volume rendering,0
Variable (computer science),Computer,1
Programmer,Logic,1
Microprocessor,Integral,0
Monte Carlo method,Symbol table,0
Software development,Computational complexity theory,1
Fast Fourier transform,Signal processing,1
Web search engine,Mathematical induction,1
GPU,Lock (computer science),1
Reinforcement learning,Interactivity,0
Inheritance (object-oriented programming),Garbage collection (computer science),0
Regular language,Computer science,1
Expert system,Artificial intelligence,1
Predicate logic,Asymptotic analysis,0
Python (programming language),Polynomial,0
Tensor,Mathematics,1
Concurrency (computer science),Graph theory,1
CPU cache,Computational problem,0
Amortized analysis,Data,1
Calculus of variations,Modular programming,0
Graph coloring,Recursion,1
Recommender system,Expected value,1
Approximation algorithm,Computing,1
Motion capture,Perl,0
Distributed computing,Central processing unit,1
Object-oriented programming,Synchronization,0
Software framework,Arithmetic,1
Internet Protocol Suite,Run time (program lifecycle phase),0
Neural network,Combinatorics,1
Automated planning and scheduling,Mathematics,1
Numerical analysis,Computing,1
Compiler optimization,Programming language,1
Mathematical optimization,Iterative method,1
Sentiment analysis,Statistics,1
Profiling (computer programming),Computer science,1
Nonlinear system,Image analysis,0
Relational database,Asymptotic analysis,1
Rendering (computer graphics),Algorithm,1
Multi-core processor,Stochastic process,0
Computer,Robotics,0
Model of computation,Compiler optimization,0
NP (complexity),Model of computation,0
Reason,Scheduling (computing),0
Routing,Wireless sensor network,0
Computer science,Arithmetic,1
Computer programming,Computing,1
Data mining,Mathematics,1
Queue (data structure),Design of experiments,0
Profiling (computer programming),Data structure,1
Recommender system,Internet Protocol Suite,0
Deadlock,Decision theory,0
Linear algebra,Probability theory,0
Question answering,Programming language,1
Monte Carlo method,Markov chain,0
Automated theorem proving,Mathematical proof,1
Probability theory,Parallel computing,0
Computer animation,Image,1
Approximation algorithm,Graph theory,1
Recursion,Computational problem,0
Fixed point (mathematics),MATLAB,0
Computational learning theory,Uncertainty,1
Rendering (computer graphics),Security,0
Internet Protocol Suite,String (computer science),0
3D computer graphics,Abstraction (computer science),1
Variable (computer science),Entropy,0
Algorithm,Computation,1
Computer vision,Analysis of algorithms,1
Programmer,Computational science,1
Rendering (computer graphics),Image,1
String searching algorithm,Integer,1
SQL,Sparse matrix,0
Data warehouse,Computer simulation,0
Information assurance,Modular arithmetic,0
Calculus,Robot,0
Data type,Computer science,1
C (programming language),Computational science,1
Communication,Cryptography,0
Digital electronics,User interface,0
Procedural programming,Regular expression,0
Random walk,Probability theory,1
Perl,Assembly language,1
Transaction processing,Computational geometry,0
Algebra,Differential equation,0
Divide and conquer algorithm,Analysis of algorithms,1
Computer multitasking,CPU cache,0
Algorithm design,Integer,1
Lexical analysis,Conditional probability,0
Geometric modeling,Multi-core processor,0
Entropy,Information security,0
Index (database),Relational database,1
Distributed computing,Complexity,1
Halting problem,Computer science,1
Robotics,Assembly language,0
Approximation algorithm,Computability,1
Lexical analysis,Program optimization,0
Document classification,Artificial intelligence,1
OSI model,Object (computer science),0
Cloud computing,Context-free language,0
Big data,Query language,0
Relational database,Introduction to Algorithms,1
Robotics,Arithmetic,1
C++,Programming language,1
Graph theory,Virtual memory,0
Garbage collection (computer science),Computer,1
Kalman filter,Encryption,0
Message passing,Computer science,1
Compiler,String (computer science),1
Scientific modelling,Document classification,0
Server (computing),Pattern matching,0
Logic,Foundations of mathematics,1
CPU cache,Performance tuning,1
Signal processing,Image,0
Context-free language,Large deviations theory,0
Central processing unit,Mutual exclusion,0
Virtual memory,Pattern matching,0
Central processing unit,Computer,1
Monte Carlo method,Theoretical computer science,1
Machine translation,Integer,1
Model of computation,Parallel computing,0
Random walk,Discrete mathematics,1
Java (programming language),Assembly language,1
Automatic programming,Data structure,1
Abstraction (computer science),Computing,1
Network security,Communications protocol,1
Arithmetic logic unit,Combinational logic,1
Recursion (computer science),Foundations of mathematics,1
Query optimization,Superscalar,0
Denotational semantics,Computability,1
Geometric modeling,B-tree,0
Lisp (programming language),Data structure,1
Numerical analysis,Iterative method,1
NP-complete,Mathematics,1
Relational database,Computational science,1
Recommender system,Algorithm,1
Traffic analysis,Number theory,1
Probability,Halting problem,0
Algorithm,Discrete mathematics,1
Cloud computing,Regular expression,0
Human-computer interaction,Interpolation,0
Decision theory,Semidefinite programming,0
Microprocessor,Inequality (mathematics),0
Complexity,Computer science,1
Database,Mathematical model,0
Computer programming,Graph theory,1
Modular arithmetic,Reason,0
Index (database),Computer programming,1
Parsing,String (computer science),1
Unsupervised learning,Statistical inference,1
Database normalization,Predicate logic,0
Computer graphics,Discrete mathematics,1
Image processing,Computational science,1
Spanning tree,Network security,0
High-level programming language,Arithmetic,1
Genetic algorithm,Iterative method,1
Software engineering,Computer,1
GPU,Stochastic,0
Programming language,Scripting language,0
Program optimization,Information theory,0
Newton's method,Generic programming,0
Cryptography,Computational complexity theory,1
Semidefinite programming,Integer,0
Application programming interface,Computer science,1
Signal processing,Monad (functional programming),0
Imperative programming,Digital electronics,1
Probability,Uncertainty,1
Artificial intelligence,Mathematical induction,1
Computer programming,Semantics,0
Volume rendering,PageRank,0
Computer science,Computing,0
String searching algorithm,Compiler,0
Problem solving,Security,0
Abstract data type,Array data structure,0
Logic programming,Computer programming,1
Data type,Hidden Markov model,0
Big data,Arithmetic logic unit,0
Bioinformatics,Probability theory,1
Dynamic memory allocation,Statistical inference,0
Distributed computing,Data structure,1
Cryptanalysis,Abstraction (computer science),1
Programming paradigm,Computer vision,0
Assembly language,Modular programming,0
Knowledge representation and reasoning,Computer,1
Semantics of programming languages,Python (programming language),0
CPU cache,Cryptographic hash function,0
Computer animation,Data,1
Program optimization,Computability,1
Model of computation,Tensor,0
Interaction design,Computer,1
Number theory,Interpolation,0
Monad (functional programming),Computer,1
Transaction processing,Foundations of mathematics,1
Support vector machine,Integer,1
Computer,OSI model,0
C++,Atomicity (database systems),0
Control flow,Calculus of variations,0
Microcode,Instruction set,1
Data analysis,Random variable,0
Unix,Computational problem,0
Scheduling (computing),Modular arithmetic,0
Neural network,Computational complexity theory,1
NP-complete,Problem solving,1
Interaction design,Arithmetic,0
Assembly language,Bayesian,0
Distributed algorithms,Computing,1
Recurrence relation,Image,0
Support vector machine,Web search engine,0
B-tree,Logic,1
Data warehouse,Virtual reality,0
Digital signature,Software development,0
Cryptographic hash function,Computational complexity theory,1
Structured programming,Computer programming,1
Machine learning,Data,1
Scripting language,Scripting language,0
Lazy evaluation,Data structure,1
Cryptanalysis,Information security,1
Prolog,Computability,1
Abstraction (computer science),Neural network,0
Hidden Markov model,Probability,1
Application software,C++,0
Polymorphism (computer science),Programming language,1
Computer animation,Computer,1
OSI model,Computer network,1
Abstraction (computer science),Reason,0
Pushdown automata,Integer,0
Parallel algorithm,Central processing unit,1
Game theory,Matrix (mathematics),1
Amortized analysis,Assembly language,0
First-order logic,Logic,1
Software development,Arithmetic,1
Expected value,Congestion control,0
Robot,Artificial intelligence,1
Speech recognition,Logic,1
Decision theory,Knowledge representation and reasoning,0
Debugging,Computational science,1
Recurrence relation,Reason,0
Human-computer interaction,Computer science,1
Fast Fourier transform,Genetic algorithm,0
String searching algorithm,Introduction to Algorithms,1
Computer vision,Computer science,1
Concurrency (computer science),Number theory,1
Recursively enumerable set,Graph theory,0
Cryptanalysis,Computability,1
Vector processor,Array data structure,0
PageRank,Array data structure,0
Internet,Stack (data structure),0
Computer programming,Theoretical computer science,1
SQL,Graph theory,1
Procedural programming,Parametric polymorphism,0
Volume rendering,Computer graphics,1
Formal language,String (computer science),1
Software engineering,Problem solving,1
Fast Fourier transform,Mathematics,1
Natural language processing,Combinational logic,0
Model checking,Knowledge representation and reasoning,0
Message passing,Number theory,1
Web service,Graph (mathematics),1
NP-complete,Image,0
Interactivity,Mathematics,1
Relational database,Data type,1
String (computer science),Data type,1
Object-oriented programming,Entropy,0
